Date,BND,SPY,TSLA
2015-01-05,0.002903979562271841,-0.01805962630641955,-0.04204102817052724
2015-01-06,0.0028953147687176273,-0.009419105266044947,0.005664237314159992
2015-01-07,0.0006016646651612056,0.012461528050548676,-0.0015619306272327549
2015-01-08,-0.0015629153338232449,0.017744988754327062,-0.0015643062581811584
2015-01-09,0.0016855678493141735,-0.008013739685075683,-0.018801629106854012
2015-01-12,0.0013226565542856505,-0.007833470579377333,-0.021532914950603166
2015-01-13,0.0009603544308669498,-0.0028126268211655647,0.010088497728839352
2015-01-14,0.002278438631421853,-0.00603767127326138,-0.05659733676235856
2015-01-15,0.00442744130853856,-0.009160354627481437,-0.004255528597720826
2015-01-16,-0.0029785980248902,0.013114663105390445,0.006254228739435819
2015-01-20,-0.0010758640475660997,0.002132303016438186,-0.00590461088227523
2015-01-21,-0.0019133104905890708,0.005047981698689252,0.024175518017267583
2015-01-22,0.00024036966169771468,0.014871038197384667,0.02569055090301542
2015-01-23,0.003234576526112587,-0.005482599922398079,-0.0016366947705445112
2015-01-26,-0.0011938189160397572,0.0023415242068955955,0.02613147671721605
2015-01-27,0.0005975594494227465,-0.013190555978400909,-0.0027596300325537504
2015-01-28,0.0035846742696254985,-0.01282436888857752,-0.03209052877530916
2015-01-29,-0.0010717696358226725,0.009243887119558813,0.02924214605280495
2015-01-30,0.005483979784396187,-0.012575031236150447,-0.007797333058199185
2015-02-02,-0.0011881267112000549,0.012384058638809314,0.0360511389604945
2015-02-03,-0.003092753696043782,0.014460798552328402,0.0351758385028933
2015-02-04,0.0003583545843730551,-0.0038074724758608847,0.0008701251992371262
2015-02-05,-0.0021475885678146067,0.010095051817765599,0.011164535201252157
2015-02-06,-0.006453086866241908,-0.002765186929289176,-0.016426056915829212
2015-02-09,-0.00036101030128177225,-0.004475894212738196,0.0005520394593698796
2015-02-10,-0.0018048110490435088,0.010653081718583035,-0.005471765552931385
2015-02-11,0.0,0.0005800614289876993,-0.016135698387415576
2015-02-12,0.0004821573986257821,0.009617242136573667,-0.04661658846022321
2015-02-13,-0.002288936492096272,0.004116152387827254,0.004386864226918918
2015-02-17,-0.003985850547204461,0.0015733334812708666,0.0028462803614237586
2015-02-18,0.00278794692875306,9.486539927427984e-05,0.0005383231478952588
2015-02-19,-0.0008465030081374891,-0.000713488923031691,0.035459277020091884
2015-02-20,0.00024274970351778613,0.0060005420968274326,0.025506564298148016
