Date,BND,SPY,TSLA
2015-01-02,59.4053955078125,169.68783569335938,14.620667457580566
2015-01-05,59.57790756225586,166.6233367919922,14.005999565124512
2015-01-06,59.750404357910156,165.05389404296875,14.085332870483398
2015-01-07,59.786354064941406,167.1107177734375,14.063332557678223
2015-01-08,59.69291305541992,170.0760955810547,14.041333198547363
2015-01-09,59.79352951049805,168.71315002441406,13.77733325958252
2015-01-12,59.872615814208984,167.39154052734375,13.480667114257812
2015-01-13,59.93011474609375,166.9207305908203,13.616666793823242
2015-01-14,60.0666618347168,165.9129180908203,12.845999717712402
2015-01-15,60.332603454589844,164.39309692382812,12.791333198547363
2015-01-16,60.152896881103516,166.54905700683594,12.871333122253418
2015-01-20,60.08818054199219,166.90419006347656,12.795332908630371
2015-01-21,59.97321319580078,167.74671936035156,13.104666709899902
2015-01-22,59.98762893676758,170.2412872314453,13.441332817077637
2015-01-23,60.181663513183594,169.30792236328125,13.419333457946777
2015-01-26,60.10981750488281,169.70436096191406,13.770000457763672
2015-01-27,60.14573669433594,167.4658660888672,13.732000350952148
2015-01-28,60.3613395690918,165.31822204589844,13.291333198547363
2015-01-29,60.29664611816406,166.84640502929688,13.680000305175781
2015-01-30,60.62731170654297,164.74830627441406,13.573332786560059
2015-02-02,60.55527877807617,166.78855895996094,14.062666893005371
2015-02-03,60.36799621582031,169.20045471191406,14.557332992553711
2015-02-04,60.38962936401367,168.5562286376953,14.569999694824219
2015-02-05,60.25993728637695,170.2578125,14.732666969299316
2015-02-06,59.87107467651367,169.78701782226562,14.490667343139648
2015-02-09,59.84946060180664,169.02706909179688,14.498666763305664
2015-02-10,59.7414436340332,170.82772827148438,14.419333457946777
2015-02-11,59.7414436340332,170.92681884765625,14.186667442321777
2015-02-12,59.77024841308594,172.57066345214844,13.525333404541016
2015-02-13,59.63343811035156,173.28099060058594,13.584667205810547
2015-02-17,59.395748138427734,173.55361938476562,13.623332977294922
2015-02-18,59.56134033203125,173.57008361816406,13.630666732788086
2015-02-19,59.510921478271484,173.4462432861328,14.11400032043457
2015-02-20,59.525367736816406,174.4870147705078,14.473999977111816
2015-02-23,59.64781951904297,174.46221923828125,13.822667121887207
2015-02-24,59.89268112182617,174.95787048339844,13.607333183288574
2015-02-25,59.95026779174805,174.80911254882812,13.583999633789062
2015-02-26,59.78466796875,174.6026611328125,13.812666893005371
2015-02-27,59.8350830078125,174.00790405273438,13.555999755859375
2015-03-02,59.64166259765625,175.1064910888672,13.155332565307617
2015-03-03,59.569496154785156,174.38790893554688,13.303999900817871
2015-03-04,59.569496154785156,173.6527099609375,13.496000289916992
2015-03-05,59.605567932128906,173.84268188476562,13.375332832336426
2015-03-06,59.259212493896484,171.39773559570312,12.925333023071289
2015-03-09,59.331363677978516,172.1080780029297,12.725333213806152
2015-03-10,59.562259674072266,169.3162078857422,12.687999725341797
2015-03-11,59.6271858215332,168.91961669921875,12.916000366210938
2015-03-12,59.67052459716797,171.06732177734375,12.73799991607666
2015-03-13,59.61281204223633,170.01828002929688,12.578666687011719
2015-03-16,59.72826385498047,172.28977966308594,13.046667098999023
2015-03-17,59.77873992919922,171.77764892578125,12.982000350952148
2015-03-18,60.14681625366211,173.84268188476562,13.380666732788086
2015-03-19,59.96638870239258,173.04965209960938,13.043333053588867
2015-03-20,60.125144958496094,174.57720947265625,13.20533275604248
2015-03-23,60.153987884521484,174.23703002929688,13.308667182922363
2015-03-24,60.255043029785156,173.25796508789062,13.447999954223633
2015-03-25,60.16122055053711,170.7191162109375,12.953332901000977
2015-03-26,59.96638870239258,170.3125457763672,12.694000244140625
2015-03-27,60.024139404296875,170.7024688720703,12.333333015441895
2015-03-30,60.0963020324707,172.7850799560547,12.704667091369629
2015-03-31,60.16122055053711,171.27499389648438,12.584667205810547
2015-04-01,60.400630950927734,170.6693115234375,12.505999565124512
2015-04-02,60.32109451293945,171.28329467773438,12.733332633972168
2015-04-06,60.3717155456543,172.43658447265625,13.539999961853027
2015-04-07,60.40787887573242,171.980224609375,13.550000190734863
2015-04-08,60.364471435546875,172.56105041503906,13.844667434692383
2015-04-09,60.23429870605469,173.3243408203125,14.005999565124512
2015-04-10,60.205326080322266,174.2701873779297,14.0600004196167
2015-04-13,60.219791412353516,173.4819793701172,13.985333442687988
2015-04-14,60.32829666137695,173.8138885498047,13.830666542053223
2015-04-15,60.38617706298828,174.59378051757812,13.85533332824707
2015-04-16,60.3717155456543,174.5440216064453,13.779999732971191
2015-04-17,60.47298812866211,172.53614807128906,13.78600025177002
2015-04-20,60.40787887573242,174.11253356933594,13.684666633605957
2015-04-21,60.33552169799805,173.9051971435547,13.96066665649414
2015-04-22,60.111305236816406,174.759765625,14.629332542419434
2015-04-23,60.22705841064453,175.19949340820312,14.573332786560059
2015-04-24,60.32109451293945,175.60604858398438,14.562000274658203
2015-04-27,60.27768325805664,174.87588500976562,15.436667442321777
2015-04-28,60.08964538574219,175.43174743652344,15.36533260345459
2015-04-29,59.90157699584961,174.70999145507812,15.49666690826416
2015-04-30,59.96665954589844,172.95924377441406,15.069999694824219
2015-05-01,59.784786224365234,174.83436584472656,15.0686674118042
2015-05-04,59.697845458984375,175.332275390625,15.36733341217041
2015-05-05,59.60359573364258,173.3243408203125,15.529999732971191
2015-05-06,59.43693542480469,172.6107940673828,15.362000465393066
2015-05-07,59.56012725830078,173.29945373535156,15.786666870117188
2015-05-08,59.71956253051758,175.5811767578125,15.77400016784668
2015-05-11,59.407928466796875,174.74314880371094,15.965999603271484
2015-05-12,59.33544921875,174.22047424316406,16.31599998474121
2015-05-13,59.306480407714844,174.25364685058594,16.211999893188477
2015-05-14,59.42240524291992,176.07064819335938,16.273332595825195
2015-05-15,59.661590576171875,176.26144409179688,16.589332580566406
2015-05-18,59.44419860839844,176.80909729003906,16.583332061767578
2015-05-19,59.31371307373047,176.75103759765625,16.47599983215332
2015-05-20,59.31371307373047,176.62655639648438,16.290000915527344
